conversation_id,n_rows,n_text_qc_flagged,starter,condition,exclude_first_human_qc_flagged,exclude_for_text_qc
conv_69074fdb10ac8197a57716e5742abf0a0366761f75d95cf2,5,0,author_1,berlin,False,False
conv_69075134cd608190809925a0392f7ea10c2d8fe2563d0f76,4,0,author_1,berlin,False,False
conv_6907527505a88193b9b844e00f2ee5740c42104d091707d5,5,0,author_1,berlin,False,False
conv_690752b8d4108190be9a6b3d8796365f0b609f4f53010e64,5,0,author_1,berlin,False,False
conv_690754b535548190869c4721ded0277803a6ecb42e78d33b,5,0,author_1,berlin,False,False
conv_6907568b7c4481948961e9add4b6724c02b1e5096d7df0a7,5,0,author_1,berlin,False,False
conv_69075809520c81939cad9aa8ebf5815a0ef0f612ba289c1b,5,0,author_1,berlin,False,False
conv_690758dc918881908157f1c70fc3370601d5bda3ce80345f,4,0,author_1,berlin,False,False
conv_69075c636edc81958a3a61080c2306810f8e4ed05b1559fd,2,0,author_1,berlin,False,False
conv_69075f36e6c48197bc7a81582e00e19708a68530003701da,1,0,author_1,berlin,False,False
conv_6907618672648190a2748820a62e1dda03577a9bc6c9883a,5,0,author_1,berlin,False,False
conv_690761e28d5481979cd55676a9c13a0d06933ee762b7cbad,1,1,author_1,berlin,True,True
conv_69076261d6b48190aa4fcac5653eed070656cc869200b194,2,0,author_1,berlin,False,False
conv_690763662f54819396cae83dfecc0fef0af0a20e658c7714,1,0,author_1,berlin,False,False
conv_690764ffbe34819795e9d613be7168a30606871206792452,5,0,author_1,berlin,False,False
conv_690765d1e4848193990bac090c14c0690b8f276498474225,5,0,author_1,berlin,False,False
conv_690767a3ceec8194bdad7737ef03446c0878f46a6e3c836a,4,0,author_1,berlin,False,False
conv_690768d60fe481948b926f4276694c220fde383284dcb08c,5,0,author_1,berlin,False,False
conv_690769da35808194a93b55165a58cfb80f1780bd7d50a367,5,0,author_1,berlin,False,False
conv_69076a70df0881959b9f416b9efb16720d1b2d76126aae87,5,0,author_1,berlin,False,False
